LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS10M
53.55341,9.99181,1982,01,01,    0.34,    2.31,    1.49,   -0.83,    0.59,    5.18,    0.47,    4.71,    2.63
53.55341,9.99181,1982,01,02,    3.23,    1.67,    1.36,   -0.32,    0.67,    5.00,    1.38,    3.62,    2.46
53.55341,9.99181,1982,01,03,    4.08,    5.84,    6.38,    0.54,    4.09,    9.98,    5.35,    4.62,    7.13
53.55341,9.99181,1982,01,04,    3.78,    3.90,    7.32,    3.43,    5.66,   10.22,    5.26,    4.96,    7.61
53.55341,9.99181,1982,01,05,   12.06,    9.09,    5.80,   -3.30,   -1.06,   11.61,    3.38,    8.23,    5.81
53.55341,9.99181,1982,01,06,    4.57,    5.55,   -4.16,   -9.72,   -7.83,   12.07,    5.50,    6.57,    8.82
53.55341,9.99181,1982,01,07,    0.51,    6.00,   -7.61,  -13.60,  -11.48,    5.46,    2.13,    3.33,    3.78
53.55341,9.99181,1982,01,08,    0.06,    5.74,   -7.98,  -13.72,  -11.81,    4.33,    1.88,    2.45,    3.29
53.55341,9.99181,1982,01,09,    0.11,    4.73,   -7.76,  -12.49,  -10.11,    6.20,    0.25,    5.95,    4.33
53.55341,9.99181,1982,01,10,    0.08,    6.85,   -7.28,  -14.13,  -11.67,    5.50,    0.83,    4.67,    4.18
53.55341,9.99181,1982,01,11,    0.26,   10.30,   -3.34,  -13.63,   -8.75,    4.50,    2.21,    2.29,    3.22
53.55341,9.99181,1982,01,12,    0.24,    6.81,   -3.31,  -10.12,   -7.46,    2.49,    1.65,    0.85,    2.09
53.55341,9.99181,1982,01,13,    0.54,    4.48,   -3.21,   -7.69,   -6.01,    3.47,    2.03,    1.45,    2.72
53.55341,9.99181,1982,01,14,    0.01,    8.51,   -5.04,  -13.55,   -9.83,    4.27,    2.02,    2.25,    3.45
53.55341,9.99181,1982,01,15,    0.01,   10.82,   -3.67,  -14.50,   -9.07,    4.01,    2.26,    1.75,    3.41
