LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS10M
48.85661,2.34211,1982,01,01,    1.91,    2.84,    6.98,    4.15,    5.42,    6.82,    3.03,    3.78,    5.04
48.85661,2.34211,1982,01,02,    6.17,    6.74,    9.41,    2.66,    5.91,    6.89,    3.87,    3.02,    5.63
48.85661,2.34211,1982,01,03,    0.51,    4.34,    9.39,    5.05,    6.88,    7.31,    4.28,    3.03,    5.48
48.85661,2.34211,1982,01,04,    3.83,    4.50,   12.09,    7.59,    9.13,    9.72,    6.65,    3.07,    8.06
48.85661,2.34211,1982,01,05,   10.76,    2.96,   10.73,    7.76,    9.25,   12.12,    5.77,    6.36,    8.34
48.85661,2.34211,1982,01,06,    3.73,   11.69,    8.16,   -3.53,    2.29,    7.88,    3.86,    4.03,    6.32
48.85661,2.34211,1982,01,07,    1.04,    2.94,   -2.29,   -5.23,   -3.72,    7.99,    5.06,    2.93,    6.58
48.85661,2.34211,1982,01,08,    9.93,    6.92,    3.09,   -3.83,   -1.11,    8.65,    1.66,    6.99,    5.25
48.85661,2.34211,1982,01,09,    9.77,    5.55,    2.77,   -2.78,    0.28,    5.50,    1.13,    4.37,    3.24
48.85661,2.34211,1982,01,10,   17.68,    2.98,   -0.25,   -3.23,   -2.45,    6.03,    3.54,    2.49,    5.22
48.85661,2.34211,1982,01,11,    4.42,   10.10,    1.00,   -9.10,   -2.10,    5.81,    0.44,    5.38,    3.64
48.85661,2.34211,1982,01,12,    0.01,    9.44,   -2.50,  -11.94,   -7.87,    7.40,    5.83,    1.58,    6.30
48.85661,2.34211,1982,01,13,    0.03,    7.67,   -7.59,  -15.25,  -12.19,    5.69,    3.77,    1.92,    4.99
48.85661,2.34211,1982,01,14,    0.14,   11.83,   -4.28,  -16.11,  -10.33,    4.14,    2.66,    1.48,    3.25
48.85661,2.34211,1982,01,15,    0.47,    6.70,    2.63,   -4.07,    0.69,    5.56,    3.96,    1.60,    4.51
48.85661,2.34211,1982,01,16,    0.90,    4.79,    5.91,    1.12,    3.04,    6.26,    3.86,    2.40,    5.22
48.85661,2.34211,1982,01,17,    0.07,    6.51,    7.83,    1.32,    3.25,    3.61,    2.06,    1.55,    3.11
48.85661,2.34211,1982,01,18,    0.15,    7.24,    7.59,    0.35,    3.48,    4.70,    2.55,    2.15,    3.55
48.85661,2.34211,1982,01,19,    0.29,    6.76,    9.48,    2.72,    5.11,    4.52,    2.75,    1.77,    3.77
48.85661,2.34211,1982,01,20,    2.92,    4.99,    8.19,    3.20,    5.02,    3.22,    2.06,    1.16,    2.51
48.85661,2.34211,1982,01,21,    1.89,    5.32,    8.21,    2.89,    5.48,    3.20,    0.18,    3.02,    1.91
48.85661,2.34211,1982,01,22,    5.83,    5.42,    6.67,    1.25,    3.93,    4.70,    2.58,    2.12,    3.81
48.85661,2.34211,1982,01,23,    4.50,    6.12,    6.29,    0.18,    2.84,    7.22,    2.74,    4.48,    4.93
48.85661,2.34211,1982,01,24,    0.40,    4.98,    3.80,   -1.18,    0.70,    3.90,    0.36,    3.54,    1.98
48.85661,2.34211,1982,01,25,    3.64,    4.72,    2.14,   -2.57,    0.03,    5.35,    0.84,    4.51,    3.65
